title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,star_power_score,is_animated,is_live_action,is_franchise,is_sequel,is_standalone,lead_actor_clean
Suffragette,2015,2015-10-23,4702420,27269676,31972096,14000000,17972096,1.283721143,73,213,"Art House & International, Drama",106,Sarah Gavron,Carey Mulligan Meryl Streep Helena Bonham Carter Ben Whishaw Brendan Gleeson,0,C,well_known,9.773123909,0,1,0,0,1,carey mulligan meryl streep helena bonham carter ben whishaw brendan gleeson
Self/less,2015,2015-07-10,12279691,19527465,31807156,26000000,5807156,0.2233521538,19,142,"Drama, Mystery & Suspense, Science Fiction & Fantasy",116,Tarsem Singh,Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery,0,C,well_known,9.528795812,0,1,0,0,1,ryan reynolds ben kingsley natalie martinez matthew goode michelle dockery
Far from the Madding Crowd,2015,2015-05-01,12236500,17993477,30229977,15500000,14729977,0.9503210968,84,190,"Drama, Romance",118,Thomas Vinterberg,Carey Mulligan Matthias Schoenaerts Tom Sturridge Michael Sheen Juno Temple,0,C,well_known,8.307155323,0,1,0,0,1,carey mulligan matthias schoenaerts tom sturridge michael sheen juno temple
Mr. Holmes,2015,2015-07-17,17737646,11617557,29355203,10000000,19355203,1.9355203,88,186,"Art House & International, Drama, Mystery & Suspense",105,Bill Condon,Ian McKellen Laura Linney Milo Parker Roger Allam Hiroyuki Sanada,0,C,well_known,7.452006981,0,1,0,0,1,ian mckellen laura linney milo parker roger allam hiroyuki sanada
Love & Mercy,2015,2015-06-05,12551031,16090745,28641776,10000000,18641776,1.8641776,89,216,"Drama, Musical & Performing Arts",120,Bill Pohlad,Brian Wilson Paul Dano John Cusack Paul Giamatti Elizabeth Banks,0,C,well_known,7.207678883,0,1,0,0,1,brian wilson paul dano john cusack paul giamatti elizabeth banks
The 33,2015,2015-11-13,12227722,15744301,27972023,25000000,2972023,0.11888092,48,154,Drama,125,"Patricia Riggen, Patricia Richardson",Antonio Banderas Rodrigo Santoro Juliette Binoche James Brolin Lou Diamond Phillips,0,C,well_known,6.719022688,0,1,0,0,1,antonio banderas rodrigo santoro juliette binoche james brolin lou diamond phillips
Irrational Man,2015,2015-07-17,4030360,23360724,27391084,11000000,16391084,1.490098545,47,201,Drama,94,Woody Allen,Joaquin Phoenix Emma Stone Parker Posey Jamie Blackley Ethan Phillips,0,C,well_known,6.352530541,0,1,0,0,1,joaquin phoenix emma stone parker posey jamie blackley ethan phillips
American Ultra,2015,2015-08-21,14440985,12821389,27262374,28000000,-737626,-0.02634378571,43,175,"Action & Adventure, Comedy",96,Nima Nourizadeh,Jesse Eisenberg Kristen Stewart Topher Grace John Leguizamo Walton Goggins,0,C,well_known,6.108202443,0,1,0,0,1,jesse eisenberg kristen stewart topher grace john leguizamo walton goggins
Aloha,2015,2015-05-29,21067116,5182904,26250020,37000000,-10749980,-0.29054,20,165,"Action & Adventure, Comedy",105,Cameron Crowe,Bradley Cooper Emma Stone Rachel McAdams Bill Murray John Krasinski,0,C,well_known,5.37521815,0,1,0,0,1,bradley cooper emma stone rachel mcadams bill murray john krasinski
Wild City,2015,2015-07-31,34866,24782986,24817852,5000000,19817852,3.9635704,50,8,"Action & Adventure, Art House & International, Mystery & Suspense, Science Fiction & Fantasy",104,Ringo Lam,Louis Koo Shawn Yue Tong Liya Sam Lee Joseph Chang,0,C,well_known,3.909249564,0,1,0,0,1,louis koo shawn yue tong liya sam lee joseph chang
