title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,star_power_score,is_animated,is_live_action,is_franchise,is_sequel,is_standalone,lead_actor_clean
Now You See Me 2,2016,2016-06-10,65075540,269822066,334897606,90000000,244897606,2.721084511,33,193,Mystery & Suspense,129,Jon M. Chu,Jesse Eisenberg Woody Harrelson Mark Ruffalo Dave Franco Morgan Freeman,0,B,well_known,56.31762653,0,1,0,1,0,jesse eisenberg woody harrelson mark ruffalo dave franco morgan freeman
The Conjuring 2,2016,2016-06-10,102470008,218900000,321370008,40000000,281370008,7.0342502,80,251,Horror,133,James Wan,Patrick Wilson Vera Farmiga Madison Wolfe Frances O'Connor Lauren Esposito,0,B,well_known,55.58464223,0,1,0,1,0,patrick wilson vera farmiga madison wolfe frances o'connor lauren esposito
Passengers,2016,2016-12-21,100014699,203129453,303144152,110000000,193144152,1.755855927,31,281,"Action & Adventure, Drama, Science Fiction & Fantasy",111,Morten Tyldum,Jennifer Lawrence Chris Pratt Michael Sheen Laurence Fishburne Jon Spaihts,0,B,well_known,54.60732984,0,1,0,0,1,jennifer lawrence chris pratt michael sheen laurence fishburne jon spaihts
Alice Through the Looking Glass,2016,2016-05-27,77041381,222415643,299457024,170000000,129457024,0.7615119059,29,254,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",113,James Bobin,Johnny Depp Mia Wasikowska Anne Hathaway Helena Bonham Carter Alan Rickman,0,B,well_known,54.48516579,0,1,0,0,1,johnny depp mia wasikowska anne hathaway helena bonham carter alan rickman
Miss Peregrine's Home for Peculiar Children,2016,2016-09-30,87242834,209239612,296482446,110000000,186482446,1.695294964,64,248,"Kids & Family, Science Fiction & Fantasy",121,Tim Burton,Asa Butterfield Ella Purnell Eva Green Samuel L. Jackson Lauren McCrostie,0,B,well_known,54.36300175,0,1,0,0,1,asa butterfield ella purnell eva green samuel l. jackson lauren mccrostie
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,2016-06-03,82051601,163572247,245623848,135000000,110623848,0.8194359111,37,171,"Action & Adventure, Comedy, Science Fiction & Fantasy",107,Dave Green,Megan Fox Stephen Amell Will Arnett Laura Linney Pete Ploszek,0,B,well_known,52.28621291,0,1,0,0,1,megan fox stephen amell will arnett laura linney pete ploszek
Sully,2016,2016-09-09,125070033,118800000,243870033,60000000,183870033,3.06450055,85,341,"Action & Adventure, Drama",96,Clint Eastwood,Tom Hanks Aaron Eckhart Laura Linney Anna Gunn Autumn Reeser,0,B,well_known,52.04188482,0,1,0,0,1,tom hanks aaron eckhart laura linney anna gunn autumn reeser
Assassin's Creed,2016,2016-12-21,54647948,186049908,240697856,125000000,115697856,0.925582848,18,221,"Action & Adventure, Drama",116,Justin Kurzel,Michael Fassbender Marion Cotillard Brendan Gleeson Jeremy Irons Ariane Labed,0,B,well_known,51.67539267,0,1,0,0,1,michael fassbender marion cotillard brendan gleeson jeremy irons ariane labed
Ghostbusters,2016,2016-07-15,128350574,100796935,229147509,144000000,85147509,0.5913021458,74,384,"Action & Adventure, Comedy, Science Fiction & Fantasy",117,Paul Feig,Melissa McCarthy Kristen Wiig Kate McKinnon Leslie Jones Chris Hemsworth,0,B,well_known,51.06457243,0,1,0,0,1,melissa mccarthy kristen wiig kate mckinnon leslie jones chris hemsworth
Inferno,2016,2016-10-28,34343574,185677685,220021259,75000000,145021259,1.933616787,23,250,"Action & Adventure, Drama, Mystery & Suspense",116,Ron Howard,Tom Hanks Felicity Jones Omar Sy Irrfan Khan Sidse Babett Knudsen,0,B,well_known,50.45375218,0,1,0,0,1,tom hanks felicity jones omar sy irrfan khan sidse babett knudsen
Central Intelligence,2016,2016-06-17,127440871,89500000,216940871,50000000,166940871,3.33881742,71,187,"Action & Adventure, Comedy",107,Rawson Marshall Thurber,Dwayne Johnson Kevin Hart Amy Ryan Aaron Paul Danielle Nicolet,0,B,well_known,50.08726003,0,1,0,0,1,dwayne johnson kevin hart amy ryan aaron paul danielle nicolet
Bridget Jones's Baby,2016,2016-09-16,24252420,187700000,211952420,35000000,176952420,5.055783429,78,209,"Comedy, Romance",122,Sharon Maguire,Renée Zellweger Colin Firth Patrick Dempsey Emma Thompson Jim Broadbent,0,B,well_known,49.72076789,0,1,0,0,1,renée zellweger colin firth patrick dempsey emma thompson jim broadbent
Me Before You,2016,2016-06-03,56245075,152200000,208445075,20000000,188445075,9.42225375,54,178,Drama,110,Thea Sharrock,Emilia Clarke Sam Claflin Janet McTeer Charles Dance Brendan Coyle,0,B,well_known,49.35427574,0,1,0,0,1,emilia clarke sam claflin janet mcteer charles dance brendan coyle
London Has Fallen,2016,2016-03-04,62524260,143230187,205754447,60000000,145754447,2.429240783,28,196,Action & Adventure,99,Babak Najafi,Gerard Butler Aaron Eckhart Morgan Freeman Angela Bassett Melissa Leo,0,B,well_known,49.23211169,0,1,0,0,1,gerard butler aaron eckhart morgan freeman angela bassett melissa leo
Arrival,2016,2016-11-11,100546139,102842047,203388186,47000000,156388186,3.327408213,94,426,"Drama, Mystery & Suspense, Science Fiction & Fantasy",116,Denis Villeneuve,Jeremy Renner Forest Whitaker Amy Adams Michael Stuhlbarg Jóhann Jóhannsson,0,C,well_known,48.86561955,0,1,0,0,1,jeremy renner forest whitaker amy adams michael stuhlbarg jóhann jóhannsson
The BFG,2016,2016-07-01,55483770,139759641,195243411,140000000,55243411,0.3945957929,74,297,"Kids & Family, Science Fiction & Fantasy",115,Steven Spielberg,Ruby Barnhill Mark Rylance Rebecca Hall Jemaine Clement Bill Hader,0,C,well_known,48.0104712,0,1,0,0,1,ruby barnhill mark rylance rebecca hall jemaine clement bill hader
Bad Moms,2016,2016-07-29,113257297,70678777,183936074,20000000,163936074,8.1968037,58,169,Comedy,101,"Jon Lucas, Scott Moore",Mila Kunis Kristen Bell Kathryn Hahn Christina Applegate Jada Pinkett Smith,0,C,well_known,47.03315881,0,1,0,0,1,mila kunis kristen bell kathryn hahn christina applegate jada pinkett smith
Storks,2016,2016-09-23,72679278,111000000,183679278,70000000,113679278,1.623989686,66,138,"Animation, Comedy, Kids & Family",83,"Nicholas Stoller, Doug Sweetland",Andy Samberg Katie Crown Kelsey Grammer Jennifer Aniston,0,C,well_known,46.91099476,1,0,0,0,1,andy samberg katie crown kelsey grammer jennifer aniston
Hacksaw Ridge,2016,2016-11-04,67209615,113354021,180563636,40000000,140563636,3.5140909,84,277,"Action & Adventure, Drama",139,Mel Gibson,Andrew Garfield Luke Bracey Vince Vaughn Teresa Palmer Sam Worthington,0,C,well_known,46.54450262,0,1,0,0,1,andrew garfield luke bracey vince vaughn teresa palmer sam worthington
Operation Mekong,2016,2016-09-30,800012,173039060,173839072,30200000,143639072,4.756260662,80,10,"Action & Adventure, Drama",124,Dante Lam,Hanyu Zhang Eddie Peng Joyce Wenjuan Feng Carl Ng Xudong Wu,0,C,well_known,45.81151832,0,1,0,0,1,hanyu zhang eddie peng joyce wenjuan feng carl ng xudong wu
The Girl on the Train,2016,2016-10-07,75395035,97790824,173185859,45000000,128185859,2.848574644,44,304,"Drama, Mystery & Suspense",112,Tate Taylor,Emily Blunt Haley Bennett Rebecca Ferguson Luke Evans Justin Theroux,0,C,well_known,45.56719023,0,1,0,0,1,emily blunt haley bennett rebecca ferguson luke evans justin theroux
The Huntsman: Winter's War,2016,2016-04-22,48390190,116599148,164989338,115000000,49989338,0.4346898957,19,215,"Action & Adventure, Drama, Science Fiction & Fantasy",114,Cedric Nicolas-Troyan,Chris Hemsworth Charlize Theron Emily Blunt Jessica Chastain Nick Frost,0,C,well_known,44.71204188,0,1,0,0,1,chris hemsworth charlize theron emily blunt jessica chastain nick frost
The Magnificent Seven,2016,2016-09-23,93432655,68927981,162360636,90000000,72360636,0.8040070667,64,311,"Action & Adventure, Drama, Western",128,Antoine Fuqua,Denzel Washington Ethan Hawke Chris Pratt Haley Bennett Vincent D'Onofrio,0,C,well_known,44.58987784,0,1,0,0,1,denzel washington ethan hawke chris pratt haley bennett vincent d'onofrio
Don't Breathe,2016,2016-08-26,89217875,68543127,157761002,9900000,147861002,14.93545475,88,232,"Horror, Mystery & Suspense",88,"Fede Alvarez, Federico Álvarez",Stephen Lang Jane Levy Dylan Minnette Daniel Zovatto Christian Zagia,0,C,well_known,43.97905759,0,1,0,0,1,stephen lang jane levy dylan minnette daniel zovatto christian zagia
The Accountant,2016,2016-10-14,86260045,69300000,155560045,44000000,111560045,2.535455568,52,282,Drama,128,Gavin O'Connor,Ben Affleck Anna Kendrick Jon Bernthal J. K. Simmons John Lithgow,0,C,well_known,43.36823735,0,1,0,0,1,ben affleck anna kendrick jon bernthal j. k. simmons john lithgow
Lights Out,2016,2016-07-22,67268835,82100000,149368835,4900000,144468835,29.48343571,76,176,Horror,77,David F. Sandberg,Teresa Palmer Maria Bello Gabriel Bateman Alexander DiPersia Alicia Vela-Bailey,0,C,well_known,42.87958115,0,1,0,0,1,teresa palmer maria bello gabriel bateman alexander dipersia alicia vela-bailey
Pete's Dragon,2016,2016-08-12,76233151,67462187,143695338,65000000,78695338,1.210697508,88,241,Kids & Family,103,David Lowery,Bryce Dallas Howard Oakes Fegley Wes Bentley Karl Urban Oona Laurence,0,C,well_known,42.02443281,0,1,0,0,1,bryce dallas howard oakes fegley wes bentley karl urban oona laurence
Sausage Party,2016,2016-08-12,97685686,43019636,140705322,19000000,121705322,6.405543263,82,233,"Animation, Comedy",89,"Conrad Vernon, Greg Tiernan",Seth Rogen Kristen Wiig Jonah Hill Bill Hader Michael Cera,0,C,well_known,41.65794066,1,0,0,0,1,seth rogen kristen wiig jonah hill bill hader michael cera
Lion,2016,2016-11-25,51738905,88574023,140312928,12000000,128312928,10.692744,84,264,Drama,121,Garth Davis,Dev Patel   Nicole Kidman Saroo Brierley Sunny Pawar Rooney Mara,0,C,well_known,41.41361257,0,1,0,0,1,dev patel   nicole kidman saroo brierley sunny pawar rooney mara
Skiptrace,2016,2016-09-02,0,136579287,136579287,30000015,106579272,3.552640624,38,32,Action & Adventure,107,Renny Harlin,Jackie Chan Johnny Knoxville Fan Bingbing Eve Torres Eric Tsang,0,C,well_known,41.16928447,0,1,0,0,1,jackie chan johnny knoxville fan bingbing eve torres eric tsang
Mechanic: Resurrection,2016,2016-08-26,21218403,104511232,125729635,40000000,85729635,2.143240875,31,59,"Action & Adventure, Mystery & Suspense",99,Dennis Gansel,Jason Statham Jessica Alba Tommy Lee Jones Michelle Yeoh Sam Hazeldine,0,C,well_known,39.82547993,0,1,0,0,1,jason statham jessica alba tommy lee jones michelle yeoh sam hazeldine
Deepwater Horizon,2016,2016-09-30,61433527,60356846,121790373,156000000,-34209627,-0.2192924808,83,260,"Action & Adventure, Drama",107,Peter Berg,Mark Wahlberg Kurt Russell Kate Hudson John Malkovich Gina Rodriguez,0,C,well_known,39.21465969,0,1,0,0,1,mark wahlberg kurt russell kate hudson john malkovich gina rodriguez
Allied,2016,2016-11-23,40098064,79421959,119520023,85000000,34520023,0.4061179176,60,253,"Action & Adventure, Drama, Romance",119,Robert Zemeckis,Brad Pitt Marion Cotillard Matthew Goode Lizzy Caplan Jared Harris,0,C,well_known,38.72600349,0,1,0,0,1,brad pitt marion cotillard matthew goode lizzy caplan jared harris
The Shallows,2016,2016-06-24,55124043,63976715,119100758,17000000,102100758,6.005926941,78,219,"Drama, Mystery & Suspense",87,Jaume Collet-Serra,Blake Lively \u00d3scar Jaenada Angelo Josue Lozano Corzo Jos\u00e9 Manuel Trujillo Salas Brett Cullen,0,C,well_known,38.60383944,0,1,0,0,1,blake lively \u00d3scar jaenada angelo josue lozano corzo jos\u00e9 manuel trujillo salas brett cullen
The Purge: Election Year,2016,2016-07-01,79213375,39374505,118587880,10000000,108587880,10.858788,56,160,"Action & Adventure, Horror, Mystery & Suspense",109,James DeMonaco,Elizabeth Mitchell Frank Grillo Mykelti Williamson Edwin Hodge Raymond J. Barry,0,C,well_known,38.48167539,0,1,0,0,1,elizabeth mitchell frank grillo mykelti williamson edwin hodge raymond j. barry
Why Him?,2016,2016-12-23,60323786,57778939,118102725,38000000,80102725,2.107966447,39,155,Comedy,111,John Hamburg,James Franco Bryan Cranston Zoey Deutch Keegan-Michael Key Megan Mullally,0,C,well_known,38.35951134,0,1,0,0,1,james franco bryan cranston zoey deutch keegan-michael key megan mullally
Office Christmas Party,2016,2016-12-09,54767494,59733805,114501299,45000000,69501299,1.544473311,41,185,Comedy,105,"Will Speck, Josh Gordon",Jason Bateman Jennifer Aniston T.J. Miller Kate McKinnon Olivia Munn,0,C,well_known,37.9930192,0,1,0,0,1,jason bateman jennifer aniston t.j. miller kate mckinnon olivia munn
How to Be Single,2016,2016-02-12,46843513,65700000,112543513,38000000,74543513,1.961671395,47,156,"Comedy, Romance",110,Christian Ditter,Dakota Johnson Rebel Wilson Alison Brie Nicholas Braun Damon Wayans Jr.,0,C,well_known,37.504363,0,1,0,0,1,dakota johnson rebel wilson alison brie nicholas braun damon wayans jr.
10 Cloverfield Lane,2016,2016-03-11,72082998,38134000,110216998,15000000,95216998,6.347799867,90,309,"Drama, Mystery & Suspense, Science Fiction & Fantasy",103,Dan Trachtenberg,Mary Elizabeth Winstead John Goodman John Gallagher Jr. Bradley Cooper Douglas M. Griffin,0,C,well_known,37.13787086,0,1,0,1,0,mary elizabeth winstead john goodman john gallagher jr. bradley cooper douglas m. griffin
Neighbors 2: Sorority Rising,2016,2016-05-20,55455765,52551344,108007109,35000000,73007109,2.0859174,64,204,Comedy,92,Nicholas Stoller,Seth Rogen Rose Byrne Zac Efron Chlo\u00eb Grace Moretz Kiersey Clemons,0,C,well_known,36.89354276,0,1,0,1,0,seth rogen rose byrne zac efron chlo\u00eb grace moretz kiersey clemons
Cold War 2,2016,2016-07-08,560824,102636677,103197501,57500001,45697500,0.7947391166,56,9,"Action & Adventure, Mystery & Suspense",114,"Sunny Luk, Longman Leung",,0,,,,0,1,0,1,0,nan
Dirty Grandpa,2016,2016-01-22,35593113,58479915,94073028,11500000,82573028,7.180263304,11,135,Comedy,102,Dan Mazer,Zac Efron Robert De Niro Julianne Hough Aubrey Plaza Dermot Mulroney,0,C,well_known,33.83944154,0,1,0,0,1,zac efron robert de niro julianne hough aubrey plaza dermot mulroney
Ben-Hur,2016,2016-08-19,26410477,67650834,94061311,100000000,-5938689,-0.05938689,25,190,"Classics, Drama",125,Timur Bekmambetov,Jack Huston Toby Kebbell Rodrigo Santoro Nazanin Boniadi Ayelet Zurer,0,C,well_known,33.71727749,0,1,0,0,1,jack huston toby kebbell rodrigo santoro nazanin boniadi ayelet zurer
Money Monster,2016,2016-05-13,41012075,52270529,93282604,27000000,66282604,2.454911259,59,279,Drama,98,Jodie Foster,George Clooney Julia Roberts Jack O'Connell Caitriona Balfe Dominic West,0,C,well_known,33.22862129,0,1,0,0,1,george clooney julia roberts jack o'connell caitriona balfe dominic west
My Big Fat Greek Wedding 2,2016,2016-03-25,59689605,30943036,90632641,18000000,72632641,4.035146722,27,175,Comedy,94,Kirk Jones,John Corbett Elena Kampouris Nia Vardalos Ian Gomez John Stamos,0,C,well_known,32.495637,0,1,0,1,0,john corbett elena kampouris nia vardalos ian gomez john stamos
Collateral Beauty,2016,2016-12-16,31016021,57600000,88616021,36000000,52616021,1.461556139,14,184,Drama,97,David Frankel,Will Smith Edward Norton Helen Mirren Keira Knightley Kate Winslet,0,C,well_known,32.2513089,0,1,0,0,1,will smith edward norton helen mirren keira knightley kate winslet
War Dogs,2016,2016-08-19,43034523,43400000,86434523,50000000,36434523,0.72869046,61,229,"Comedy, Drama",114,Todd Phillips,Jonah Hill Miles Teller David Packouz Bradley Cooper Ana de Armas,0,C,well_known,31.88481675,0,1,0,0,1,jonah hill miles teller david packouz bradley cooper ana de armas
Nerve,2016,2016-07-27,38583626,46667799,85251425,20000000,65251425,3.26257125,67,138,Mystery & Suspense,96,"Ariel Schulman, Henry Joost",Emma Roberts Dave Franco Emily Meade Miles Heizer Juliette Lewis,0,C,well_known,31.39616056,0,1,0,0,1,emma roberts dave franco emily meade miles heizer juliette lewis
Ouija: Origin of Evil,2016,2016-10-21,35144505,46561241,81705746,9000000,72705746,8.078416222,82,121,"Horror, Mystery & Suspense",99,Mike Flanagan,Lulu Wilson Elizabeth Reaser Annalise Basso Kate Siegel Henry Thomas,0,C,well_known,30.66317627,0,1,0,0,1,lulu wilson elizabeth reaser annalise basso kate siegel henry thomas
Manchester by the Sea,2016,2016-12-16,47695371,31292777,78988148,9000000,69988148,7.776460889,96,347,Drama,137,Kenneth Lonergan,Casey Affleck Kenneth Lonergan Lucas Hedges Michelle Williams Kyle Chandler,0,C,well_known,30.05235602,0,1,0,0,1,casey affleck kenneth lonergan lucas hedges michelle williams kyle chandler
The Boss,2016,2016-04-08,63285885,15558697,78844582,29000000,49844582,1.71877869,21,193,Comedy,99,Ben Falcone,Melissa McCarthy Peter Dinklage Kristen Bell Kathy Bates Kristen Schaal,0,C,well_known,29.56369983,0,1,0,0,1,melissa mccarthy peter dinklage kristen bell kathy bates kristen schaal
Mike and Dave Need Wedding Dates,2016,2016-07-08,46009673,31058573,77068246,33000000,44068246,1.335401394,38,170,Comedy,98,Jake Szymanski,Adam DeVine Zac Efron Aubrey Plaza Anna Kendrick Jake Szymanski,0,C,well_known,29.31937173,0,1,0,0,1,adam devine zac efron aubrey plaza anna kendrick jake szymanski
Kubo and the Two Strings,2016,2016-08-19,48023088,28226350,76249438,60000000,16249438,0.2708239667,97,219,"Action & Adventure, Animation, Science Fiction & Fantasy",102,Travis Knight,Charlize Theron Art Parkinson Matthew McConaughey Ralph Fiennes Rooney Mara,0,C,well_known,29.07504363,1,0,0,0,1,charlize theron art parkinson matthew mcconaughey ralph fiennes rooney mara
Miracles from Heaven,2016,2016-03-16,61705123,12277880,73983003,16000000,57983003,3.623937688,45,93,Drama,109,Patricia Riggen,Jennifer Garner Kylie Rogers Martin Henderson Brighton Sharbino Courtney Fansler,0,C,well_known,28.21989529,0,1,0,0,1,jennifer garner kylie rogers martin henderson brighton sharbino courtney fansler
The Nice Guys,2016,2016-05-20,36261763,35000000,71261763,50000000,21261763,0.42523526,92,313,"Comedy, Drama",116,Shane Black,Ryan Gosling Russel Crowe  Angourie Rice Margaret Qualley Matt Bomer,0,C,well_known,27.36474695,0,1,0,0,1,ryan gosling russel crowe  angourie rice margaret qualley matt bomer
Moonlight,2016,2016-10-21,27854932,37317679,65172611,1500000,63672611,42.44840733,98,384,Drama,111,Barry Jenkins (III),Mahershala Ali Trevante Rhodes Ashton Sanders André Holland Naomie Harris,0,C,well_known,26.14310646,0,1,0,0,1,mahershala ali trevante rhodes ashton sanders andré holland naomie harris
Fences,2016,2016-12-25,57682904,6731857,64414761,24000000,40414761,1.683948375,92,265,Drama,133,Denzel Washington,Denzel Washington Viola Davis Jovan Adepo Stephen McKinley Mykelti Williamson,0,C,well_known,26.02094241,0,1,0,0,1,denzel washington viola davis jovan adepo stephen mckinley mykelti williamson
"Hail, Caesar!",2016,2016-02-05,30498085,33149571,63647656,22000000,41647656,1.893075273,85,358,Comedy,106,"Joel Coen, Ethan Coen",Josh Brolin George Clooney Alden Ehrenreich Ralph Fiennes Scarlett Johansson,0,C,well_known,25.53228621,0,1,0,0,1,josh brolin george clooney alden ehrenreich ralph fiennes scarlett johansson
Nine Lives,2016,2016-08-05,19700032,38114413,57814445,30000000,27814445,0.9271481667,14,72,Comedy,89,Barry Sonnenfeld,Kevin Spacey Christopher Walken Jennifer Garner Malina Weissman Robbie Amell,0,C,well_known,23.33333333,0,1,0,0,1,kevin spacey christopher walken jennifer garner malina weissman robbie amell
Zoolander 2,2016,2016-02-12,28848693,27874000,56722693,50000000,6722693,0.13445386,22,232,Comedy,102,Ben Stiller,Ben Stiller Owen Wilson Will Ferrell Pen\u00e9lope Cruz Kristen Wiig,0,C,well_known,22.84467714,0,1,0,1,0,ben stiller owen wilson will ferrell pen\u00e9lope cruz kristen wiig
Barbershop: The Next Cut,2016,2016-04-15,54030051,1600000,55630051,20000000,35630051,1.78150255,90,93,Comedy,112,Malcolm D. Lee,Ice Cube Regina Hall Cedric the Entertainer Nicki Minaj  Anthony Anderson,0,C,well_known,22.47818499,0,1,0,0,1,ice cube regina hall cedric the entertainer nicki minaj  anthony anderson
The Finest Hours,2016,2016-01-29,27569558,24529532,52099090,80000000,-27900910,-0.348761375,63,197,"Action & Adventure, Drama, Mystery & Suspense",116,Craig Gillespie,Chris Pine Casey Affleck Ben Foster Eric Bana Holliday Grainger,0,C,well_known,21.13438045,0,1,0,0,1,chris pine casey affleck ben foster eric bana holliday grainger
Florence Foster Jenkins,2016,2016-08-12,27383770,21519183,48902953,29000000,19902953,0.6863087241,87,229,"Comedy, Drama, Musical & Performing Arts",110,Stephen Frears,Meryl Streep Hugh Grant Rebecca Ferguson Simon Helberg Nina Arianda,0,C,well_known,19.79057592,0,1,0,0,1,meryl streep hugh grant rebecca ferguson simon helberg nina arianda
Mother's Day,2016,2016-04-29,32492859,16289811,48782670,25000000,23782670,0.9513068,8,158,"Comedy, Drama",118,Garry Marshall,Julia Roberts Jennifer Aniston Kate Hudson Jason Sudeikis Héctor Elizondo,0,C,well_known,19.54624782,0,1,0,0,1,julia roberts jennifer aniston kate hudson jason sudeikis héctor elizondo
Risen,2016,2016-02-19,36880033,9552546,46432579,20000000,26432579,1.32162895,53,130,"Action & Adventure, Drama",108,Kevin Reynolds,Tom Felton Cliff Curtis Joseph Fiennes Peter Firth Mark Killeen,0,C,well_known,18.20244328,0,1,0,0,1,tom felton cliff curtis joseph fiennes peter firth mark killeen
Eddie the Eagle,2016,2016-02-26,15789389,30363411,46152800,23000000,23152800,1.006643478,82,199,Drama,105,Dexter Fletcher,Taron Egerton Hugh Jackman Christopher Walken Ania Sowinski Mads Sj\u00f8g\u00e5rd Pettersen,0,C,well_known,18.08027923,0,1,0,0,1,taron egerton hugh jackman christopher walken ania sowinski mads sj\u00f8g\u00e5rd pettersen
Blair Witch,2016,2016-09-16,20777061,24396093,45173154,5000000,40173154,8.0346308,37,219,Horror,89,Adam Wingard,Rei Hance Corbin Reid Callie Hernandez Wes Robinson James Allen McCune,0,C,well_known,17.83595113,0,1,0,0,1,rei hance corbin reid callie hernandez wes robinson james allen mccune
Café Society,2016,2016-07-15,11103205,32660042,43763247,30000000,13763247,0.4587749,71,253,"Comedy, Romance",96,Woody Allen,Jesse Eisenberg Kristen Stewart Steve Carell Blake Lively Parker Posey,0,C,well_known,16.73647469,0,1,0,0,1,jesse eisenberg kristen stewart steve carell blake lively parker posey
Almost Christmas,2016,2016-11-11,42158780,422140,42580920,17000000,25580920,1.50476,49,69,Comedy,112,David E. Talbert,Danny Glover Mo'Nique Gabrielle Union David E. Talbert Kimberly Elise,0,C,well_known,15.7591623,0,1,0,0,1,danny glover mo'nique gabrielle union david e. talbert kimberly elise
The Witch,2016,2016-04-01,25138705,15285240,40423945,3500000,36923945,10.54969857,90,325,Horror,92,Robert Eggers,Anya Taylor-Joy Ralph Ineson Kate Dickie Harvey Scrimshaw Ellie Grainger,0,C,well_known,14.29319372,0,1,0,0,1,anya taylor-joy ralph ineson kate dickie harvey scrimshaw ellie grainger
The Wild Life,2016,2016-09-09,8005586,32069860,40075446,13000000,27075446,2.082726615,17,58,"Action & Adventure, Animation, Comedy",90,Vincent Kesteloot,Kyle Hebert Jeff Doucette Michael Sorich Sandy Fox George Babbit,0,C,well_known,13.92670157,1,0,0,0,1,kyle hebert jeff doucette michael sorich sandy fox george babbit
The Forest,2016,2016-01-08,26594261,13117739,39712000,10000000,29712000,2.9712,10,137,"Drama, Horror",93,Jason Zada,Natalie Dormer Taylor Kinney Yukiyoshi Ozawa Eoin Macken Rina Takasaki,0,C,well_known,13.68237347,0,1,0,0,1,natalie dormer taylor kinney yukiyoshi ozawa eoin macken rina takasaki
Absolutely Fabulous: The Movie,2016,2016-07-22,4772155,34446954,39219109,14000000,25219109,1.801364929,58,151,Comedy,86,Mandie Fletcher,Jennifer Saunders Joanna Lumley Julia Sawalha June Whitfield Jane Horrocks,0,C,well_known,13.56020942,0,1,0,0,1,jennifer saunders joanna lumley julia sawalha june whitfield jane horrocks
Hell or High Water,2016,2016-08-12,27007844,10872033,37879877,12000000,25879877,2.156656417,97,280,"Drama, Mystery & Suspense",97,David Mackenzie,Chris Pine Jeff Bridges Ben Foster Taylor Sheridan Gil Birmingham,0,C,well_known,13.07155323,0,1,0,0,1,chris pine jeff bridges ben foster taylor sheridan gil birmingham
Snowden,2016,2016-09-16,21587519,15769697,37357216,40000000,-2642784,-0.0660696,61,257,Drama,134,Oliver Stone,Joseph Gordon-Levitt Shailene Woodley Zachary Quinto Nicolas Cage Rhys Ifans,0,C,well_known,12.70506108,0,1,0,0,1,joseph gordon-levitt shailene woodley zachary quinto nicolas cage rhys ifans
Eye in the Sky,2016,2016-04-01,18704595,16555058,35259653,13000000,22259653,1.712281,95,216,"Drama, Mystery & Suspense",102,Gavin Hood,Helen Mirren Gavin Hood Alan Rickman Aaron Paul Aisha Takow,0,C,well_known,11.84991274,0,1,0,0,1,helen mirren gavin hood alan rickman aaron paul aisha takow
Billy Lynn's Long Halftime Walk,2016,2016-11-18,1738477,29192507,30930984,40000000,-9069016,-0.2267254,44,158,Drama,108,Ang Lee,Joe Alwyn Vin Diesel Chris Tucker Kristen Stewart Makenzie Leigh,0,C,well_known,8.917975567,0,1,0,0,1,joe alwyn vin diesel chris tucker kristen stewart makenzie leigh
Norm of the North,2016,2016-01-15,17062499,13672003,30734502,18000000,12734502,0.7074723333,9,69,"Action & Adventure, Animation, Comedy",90,Trevor Wall,Rob Schneider Ken Jeong Heather Graham Maya Kay Bill Nighy,0,C,well_known,8.795811518,1,0,0,0,1,rob schneider ken jeong heather graham maya kay bill nighy
When the Bough Breaks,2016,2016-09-09,29747603,910784,30658387,10000000,20658387,2.0658387,12,25,"Drama, Horror",102,Jon Cassar,Morris Chestnut Regina Hall Jaz Sinclair Theo Rossi Romany Malco,0,C,well_known,8.673647469,0,1,0,0,1,morris chestnut regina hall jaz sinclair theo rossi romany malco
Nocturnal Animals,2016,2016-12-09,10663357,19648500,30311857,22500000,7811857,0.3471936444,74,296,"Drama, Mystery & Suspense",116,Tom Ford (VIII),Jake Gyllenhaal Michael Shannon Isla Fisher Aaron Taylor-Johnson Ellie Bamber,0,C,well_known,8.429319372,0,1,0,0,1,jake gyllenhaal michael shannon isla fisher aaron taylor-johnson ellie bamber
Keeping Up with the Joneses,2016,2016-10-21,14904426,15014319,29918745,40000000,-10081255,-0.252031375,20,122,Comedy,100,Greg Mottola,Zach Galifianakis Isla Fisher Jon Hamm Ying He Tim Jones,0,C,well_known,8.184991274,0,1,0,0,1,zach galifianakis isla fisher jon hamm ying he tim jones
Jackie,2016,2016-12-02,13960394,15817383,29777777,9000000,20777777,2.308641889,87,348,Drama,99,Pablo Larraín,Natalie Portman Greta Gerwig Peter Sarsgaard John Hurt Billy Crudup,0,C,well_known,7.818499127,0,1,0,0,1,natalie portman greta gerwig peter sarsgaard john hurt billy crudup
Masterminds,2016,2016-09-30,17368022,12306677,29674699,25000000,4674699,0.18698796,34,98,Comedy,95,Jared Hess,Zach Galifianakis Kristen Wiig Owen Wilson Kate McKinnon Jason Sudeikis,0,C,well_known,7.696335079,0,1,0,0,1,zach galifianakis kristen wiig owen wilson kate mckinnon jason sudeikis
