title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,is_animated,is_live_action,is_franchise,is_sequel,is_standalone
A Quiet Place,2018,2018-04-06,188024361.0,152915000.0,340939361.0,,,,96.0,373.0,"Drama, Horror, Mystery & Suspense",90.0,John Krasinski,,0,,,0,1,0,0,1
Green Book,2018,2018-11-21,85080171.0,236672485.0,321752656.0,,,,77.0,354.0,Drama,130.0,Peter Farrelly,,0,,,0,1,0,0,1
Skyscraper,2018,2018-07-13,68420120.0,236448841.0,304868961.0,,,,48.0,286.0,"Action & Adventure, Drama",102.0,Rawson Marshall Thurber,,0,,,0,1,0,0,1
Maze Runner: The Death Cure,2018,2018-01-26,58032443.0,230142892.0,288175335.0,,,,43.0,169.0,"Action & Adventure, Drama, Science Fiction & Fantasy",142.0,Wes Ball,,0,,,0,1,0,0,1
Tomb Raider,2018,2018-03-16,58250803.0,216700000.0,274950803.0,,,,51.0,315.0,"Action & Adventure, Drama, Science Fiction & Fantasy",118.0,Roar Uthaug,,0,,,0,1,0,0,1
Halloween,2018,2018-10-19,159342015.0,96143163.0,255485178.0,,,,79.0,371.0,Horror,106.0,David Gordon Green,,0,,,0,1,0,0,1
Crazy Rich Asians,2018,2018-08-15,174532921.0,64500000.0,239032921.0,,,,91.0,352.0,Comedy,120.0,Jon M. Chu,,0,,,0,1,0,0,1
Smallfoot,2018,2018-09-28,83240103.0,134700000.0,217940103.0,,,,75.0,126.0,"Action & Adventure, Animation, Comedy, Kids & Family",96.0,Karey Kirkpatrick,,0,,,1,0,0,0,1
Creed II,2018,2018-11-21,115715889.0,98500000.0,214215889.0,,,,83.0,303.0,"Action & Adventure, Drama, Sports & Fitness",130.0,Steven Caple Jr.,,0,,,0,1,0,1,0
Us and Them,2018,2018-03-16,0.0,209221380.0,209221380.0,,,,60.0,20.0,"Art House & International, Horror, Mystery & Suspense",83.0,Joseph Martin,,0,,,0,1,0,0,1
Christopher Robin,2018,2018-08-03,99215042.0,98529335.0,197744377.0,,,,73.0,270.0,"Action & Adventure, Comedy, Kids & Family",104.0,Marc Forster,,0,,,0,1,0,0,1
The Mule,2018,2018-12-14,103804407.0,71000000.0,174804407.0,,,,70.0,189.0,"Drama, Mystery & Suspense",116.0,Clint Eastwood,,0,,,0,1,0,0,1
The Nutcracker and the Four Realms,2018,2018-11-02,54858851.0,119102218.0,173961069.0,,,,32.0,202.0,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",99.0,"Lasse Hallstrom, Joe Johnston",,0,,,0,1,0,0,1
Insidious: The Last Key,2018,2018-01-05,67745330.0,100140258.0,167885588.0,,,,33.0,111.0,Horror,103.0,Adam Robitel,,0,,,0,1,0,0,1
The Predator,2018,2018-09-14,51024708.0,109517426.0,160542134.0,,,,32.0,288.0,"Action & Adventure, Horror, Science Fiction & Fantasy",106.0,Shane Black,,0,,,0,1,0,0,1
Red Sparrow,2018,2018-03-02,46874505.0,104698129.0,151572634.0,,,,45.0,296.0,"Action & Adventure, Drama, Mystery & Suspense",139.0,Francis Lawrence,,0,,,0,1,0,0,1
The First Purge,2018,2018-07-04,69488745.0,67567517.0,137056262.0,,,,56.0,171.0,Horror,97.0,Gerard McMurray,,0,,,0,1,0,0,1
A Wrinkle in Time,2018,2018-03-09,100478608.0,32197256.0,132675864.0,,,,42.0,334.0,"Action & Adventure, Drama, Kids & Family, Science Fiction & Fantasy",109.0,Ava DuVernay,,0,,,0,1,0,0,1
The House with a Clock in Its Walls,2018,2018-09-21,68549695.0,62907452.0,131457147.0,,,,66.0,215.0,"Comedy, Kids & Family, Science Fiction & Fantasy",105.0,Eli Roth,,0,,,0,1,0,0,1
Instant Family,2018,2018-11-16,67363237.0,53192964.0,120556201.0,,,,80.0,152.0,Comedy,119.0,Sean Anders,,0,,,0,1,0,0,1
Game Night,2018,2018-02-23,69179066.0,48500000.0,117679066.0,,,,85.0,252.0,"Comedy, Mystery & Suspense",100.0,"Jonathan M. Goldstein, John Francis Daley",,0,,,0,1,0,0,1
The Monkey King 3,2018,2018-02-16,187074.0,114897502.0,115084576.0,,,,33.0,6.0,"Action & Adventure, Science Fiction & Fantasy",116.0,Pou-Soi Cheang,,0,,,0,1,0,1,0
First Man,2018,2018-10-12,44936545.0,60760870.0,105697415.0,,,,86.0,444.0,Drama,141.0,Damien Chazelle,,0,,,0,1,0,0,1
Book Club,2018,2018-05-18,68566296.0,35871892.0,104438188.0,,,,54.0,184.0,Comedy,104.0,,,0,,,0,1,0,0,1
Night School,2018,2018-09-28,77339130.0,25766748.0,103105878.0,,,,26.0,140.0,Comedy,111.0,Malcolm D. Lee,,0,,,0,1,0,0,1
A Simple Favor,2018,2018-09-14,53548586.0,44096031.0,97644617.0,,,,84.0,247.0,Mystery & Suspense,117.0,Paul Feig,,0,,,0,1,0,0,1
Alpha,2018,2018-08-17,35857181.0,61397147.0,97254328.0,,,,80.0,132.0,"Action & Adventure, Drama, Mystery & Suspense",97.0,Albert Hughes,,0,,,0,1,0,0,1
The Favourite,2018,2018-11-23,34366783.0,61551923.0,95918706.0,,,,93.0,405.0,Drama,120.0,Yorgos Lanthimos,,0,,,0,1,0,0,1
I Feel Pretty,2018,2018-04-20,48795601.0,45743825.0,94539426.0,,,,35.0,226.0,Comedy,110.0,"Abby Kohn, Marc Silverstein",,0,,,0,1,0,0,1
Blockers,2018,2018-04-06,60311495.0,33705799.0,94017294.0,,,,84.0,225.0,Comedy,102.0,Kay Cannon,,0,,,0,1,0,0,1
BlacKkKlansman,2018,2018-08-10,49275340.0,44125483.0,93400823.0,,,,96.0,436.0,"Comedy, Drama",134.0,Spike Lee,,0,,,0,1,0,0,1
Goosebumps 2: Haunted Halloween,2018,2018-10-12,46700633.0,46619747.0,93320380.0,,,,47.0,95.0,"Comedy, Horror, Kids & Family",90.0,Ari Sandel,,0,,,0,1,0,1,0
Overboard,2018,2018-05-04,50316123.0,40928790.0,91244913.0,,,,24.0,89.0,"Comedy, Romance",112.0,Rob Greenberg,,0,,,0,1,0,0,1
Sherlock Gnomes,2018,2018-03-23,43242871.0,47254907.0,90497778.0,,,,27.0,66.0,"Action & Adventure, Animation, Comedy, Kids & Family",86.0,John Stevenson,,0,,,1,0,0,0,1
Robin Hood,2018,2018-11-21,30824628.0,55664403.0,86489031.0,,,,15.0,165.0,"Action & Adventure, Drama",118.0,Otto Bathurst,,0,,,0,1,0,0,1
I Can Only Imagine,2018,2018-03-16,83482352.0,2604529.0,86086881.0,,,,63.0,32.0,"Drama, Kids & Family",110.0,"Jon Erwin, Andrew Erwin",,0,,,0,1,0,0,1
Mortal Engines,2018,2018-12-14,15951040.0,67721633.0,83672673.0,,,,26.0,186.0,"Action & Adventure, Science Fiction & Fantasy",128.0,Christian Rivers,,0,,,0,1,0,0,1
Den of Thieves,2018,2018-01-19,44947622.0,35562000.0,80509622.0,,,,41.0,135.0,"Action & Adventure, Drama",140.0,Christian Gudegast,,0,,,0,1,0,0,1
Hereditary,2018,2018-06-08,44069456.0,35926845.0,79996301.0,,,,89.0,371.0,"Drama, Horror",127.0,Ari Aster,,0,,,0,1,0,0,1
Tag,2018,2018-06-15,54730625.0,23500000.0,78230625.0,,,,56.0,200.0,Comedy,100.0,Jeff Tomsic,,0,,,0,1,0,0,1
Vice,2018,2018-12-25,47836282.0,28237206.0,76073488.0,,,,65.0,359.0,Drama,132.0,Adam McKay,,0,,,0,1,0,0,1
Widows,2018,2018-11-16,42402632.0,33582068.0,75984700.0,,,,91.0,411.0,Drama,128.0,Steve McQueen (III),,0,,,0,1,0,0,1
Sicario: Day of the Soldado,2018,2018-06-29,50072235.0,25765508.0,75837743.0,,,,62.0,285.0,"Action & Adventure, Drama",122.0,Stefano Sollima,,0,,,0,1,0,0,1
Searching,2018,2018-08-31,26020957.0,49441080.0,75462037.0,,,,92.0,248.0,Mystery & Suspense,102.0,Aneesh Chaganty,,0,,,0,1,0,0,1
The Spy Who Dumped Me,2018,2018-08-03,33562069.0,41758611.0,75320680.0,,,,49.0,206.0,"Action & Adventure, Comedy",116.0,Susanna Fogel,,0,,,0,1,0,0,1
Second Act,2018,2018-12-21,39282227.0,33000000.0,72282227.0,,,,44.0,110.0,"Comedy, Romance",104.0,Peter Segal,,0,,,0,1,0,0,1
12 Strong,2018,2018-01-19,45819713.0,21539477.0,67359190.0,,,,50.0,171.0,"Action & Adventure, Drama",130.0,Nicolai Fuglsig,,0,,,0,1,0,0,1
"Love, Simon",2018,2018-03-16,40826341.0,25489948.0,66316289.0,,,,91.0,229.0,Drama,110.0,Greg Berlanti,,0,,,0,1,0,0,1
Mile 22,2018,2018-08-17,36108758.0,30200000.0,66308758.0,,,,23.0,189.0,Action & Adventure,95.0,Peter Berg,,0,,,0,1,0,0,1
Life of the Party,2018,2018-05-11,53059911.0,12600000.0,65659911.0,,,,38.0,151.0,Comedy,105.0,Ben Falcone,,0,,,0,1,0,0,1
Isle of Dogs,2018,2018-04-13,32015231.0,32226268.0,64241499.0,,,,90.0,358.0,"Action & Adventure, Animation, Comedy",101.0,Wes Anderson,,0,,,1,0,0,0,1
Adrift,2018,2018-06-01,31445012.0,28500000.0,59945012.0,,,,69.0,197.0,"Drama, Romance",120.0,Baltasar Kormákur,,0,,,0,1,0,0,1
The 15:17 to Paris,2018,2018-02-09,36276286.0,20900000.0,57176286.0,,,,23.0,165.0,Drama,94.0,Clint Eastwood,,0,,,0,1,0,0,1
Early Man,2018,2018-02-16,8267544.0,46355270.0,54622814.0,,,,80.0,174.0,"Animation, Comedy, Kids & Family",89.0,,,0,,,1,0,0,0,1
Peppermint,2018,2018-09-07,35418723.0,18500000.0,53918723.0,,,,12.0,144.0,"Action & Adventure, Mystery & Suspense",102.0,Pierre Morel,,0,,,0,1,0,0,1
Teen Titans GO! To the Movies,2018,2018-07-27,29790236.0,22600000.0,52390236.0,,,,91.0,132.0,"Action & Adventure, Animation, Kids & Family",87.0,"Aaron Horvath, Peter Rida Michail",,0,,,1,0,0,0,1
Slender Man,2018,2018-08-10,30569484.0,21169065.0,51738549.0,,,,8.0,79.0,Horror,93.0,Sylvain White,,0,,,0,1,0,0,1
Breaking In,2018,2018-05-11,46840590.0,4571030.0,51411620.0,,,,27.0,107.0,Mystery & Suspense,88.0,James McTeigue,,0,,,0,1,0,0,1
Death Wish,2018,2018-03-02,34017028.0,15545682.0,49562710.0,,,,18.0,161.0,"Action & Adventure, Drama, Mystery & Suspense",107.0,Eli Roth,,0,,,0,1,0,0,1
Mary Queen of Scots,2018,2018-12-07,16468499.0,30244310.0,46712809.0,,,,62.0,282.0,Drama,124.0,Josie Rourke,,0,,,0,1,0,0,1
Uncle Drew,2018,2018-06-29,42469946.0,4194468.0,46664414.0,,,,61.0,97.0,Comedy,104.0,Charles Stone III,,0,,,0,1,0,0,1
Winchester,2018,2018-02-02,25091816.0,18927772.0,44019588.0,,,,13.0,130.0,"Drama, Mystery & Suspense, Science Fiction & Fantasy",99.0,"Michael Spierig, Peter Spierig",,0,,,0,1,0,0,1
Annihilation,2018,2018-02-23,32732301.0,10338614.0,43070915.0,,,,88.0,313.0,"Action & Adventure, Drama, Science Fiction & Fantasy",115.0,Alex Garland,,0,,,0,1,0,0,1
The Possession of Hannah Grace,2018,2018-11-30,14837422.0,28179106.0,43016528.0,,,,18.0,55.0,"Horror, Mystery & Suspense",85.0,Diederik Van Rooijen,,0,,,0,1,0,0,1
Overlord,2018,2018-11-09,21704844.0,19953000.0,41657844.0,,,,81.0,221.0,"Action & Adventure, Horror, Mystery & Suspense",110.0,Julius Avery,,0,,,0,1,0,0,1
The Darkest Minds,2018,2018-08-03,12695691.0,28446688.0,41142379.0,,,,16.0,140.0,"Mystery & Suspense, Science Fiction & Fantasy",104.0,Jennifer Yuh Nelson,,0,,,0,1,0,0,1
Show Dogs,2018,2018-05-18,17857020.0,21299834.0,39156854.0,,,,16.0,63.0,"Comedy, Kids & Family",92.0,Raja Gosnell,,0,,,0,1,0,0,1
The Girl in the Spider's Web,2018,2018-11-09,14841338.0,20323582.0,35164920.0,,,,39.0,236.0,Drama,117.0,Fede Alvarez,,0,,,0,1,0,0,1
The Hate U Give,2018,2018-10-19,29719483.0,5214526.0,34934009.0,,,,97.0,220.0,Drama,133.0,George Tillman Jr.,,0,,,0,1,0,0,1
Nobody's Fool,2018,2018-11-02,31713110.0,1992223.0,33705333.0,,,,24.0,42.0,Comedy,110.0,Tyler Perry,,0,,,0,1,0,0,1
The Hurricane Heist,2018,2018-03-09,6115825.0,26401423.0,32517248.0,,,,47.0,59.0,"Action & Adventure, Drama, Mystery & Suspense",103.0,Rob Cohen,,0,,,0,1,0,0,1
Bad Times at the El Royale,2018,2018-10-12,17839115.0,14043609.0,31882724.0,,,,74.0,250.0,Mystery & Suspense,141.0,Drew Goddard,,0,,,0,1,0,0,1
Hunter Killer,2018,2018-10-26,15767460.0,15905218.0,31672678.0,,,,36.0,110.0,"Action & Adventure, Drama, Mystery & Suspense",121.0,Donovan Marsh,,0,,,0,1,0,0,1
Super Troopers 2,2018,2018-04-20,30617396.0,1008990.0,31626386.0,,,,36.0,98.0,Comedy,103.0,Jay Chandrasekhar,,0,,,0,1,0,1,0
The Strangers: Prey at Night,2018,2018-03-09,24586708.0,6452418.0,31039126.0,,,,39.0,122.0,Horror,85.0,Johannes Roberts,,0,,,0,1,0,0,1
Free Solo,2018,2018-09-28,17541090.0,11849189.0,29390279.0,,,,97.0,153.0,Documentary,100.0,"Elizabeth Chai Vasarhelyi, Jimmy Chin",,0,,,0,1,0,0,1
Mirai,2018,2018-11-29,812794.0,27944167.0,28756961.0,,,,90.0,83.0,"Animation, Anime & Manga, Art House & International, Kids & Family",98.0,Mamoru Hosoda,,0,,,1,0,0,0,1
The Happytime Murders,2018,2018-08-24,20706452.0,6800000.0,27506452.0,,,,23.0,243.0,"Action & Adventure, Comedy",91.0,Brian Henson,,0,,,0,1,0,0,1
Midnight Sun,2018,2018-03-23,9561064.0,17804403.0,27365467.0,,,,21.0,61.0,"Drama, Romance",91.0,Scott Speer,,0,,,0,1,0,0,1
White Boy Rick,2018,2018-09-14,24011188.0,1946294.0,25957482.0,,,,58.0,153.0,Drama,111.0,Yann Demange,,0,,,0,1,0,0,1
"Paul, Apostle of Christ",2018,2018-03-23,17560475.0,8355491.0,25915966.0,,,,46.0,39.0,Drama,108.0,Andrew Hyatt,,0,,,0,1,0,0,1
Pokémon the Movie: The Power of Us,2018,2018-11-24,789170.0,22951618.0,23740788.0,,,,71.0,7.0,Special Interest,113.0,Tetsuo Yajima,,0,,,0,1,0,0,1
The Guernsey Literary and Potato Peel Pie Society,2018,2018-04-20,0.0,23148937.0,23148937.0,,,,80.0,71.0,Drama,124.0,Mike Newell,,0,,,0,1,0,0,1
Won't You Be My Neighbor?,2018,2018-06-08,22835787.0,8954.0,22844741.0,,,,97.0,249.0,Documentary,94.0,Morgan Neville,,0,,,0,1,0,0,1
Avengers: Endgame,2019,2019-04-26,858373000.0,1941066100.0,2799439100.0,,,,94.0,528.0,"Action & Adventure, Drama, Science Fiction & Fantasy",181.0,Anthony Russo,,0,,,0,1,1,0,0
The Lion King,2019,2019-07-19,543638043.0,1113305351.0,1656943394.0,,,,52.0,424.0,"Action & Adventure, Animation, Drama",118.0,,,0,,,1,0,0,0,1
Frozen II,2019,2019-11-21,477373578.0,972653355.0,1450026933.0,,,,77.0,325.0,"Action & Adventure, Animation, Comedy, Kids & Family",103.0,"Jennifer Lee, Chris Buck",,0,,,1,0,0,1,0
Spider-Man: Far from Home,2019,2019-07-02,390532085.0,741395911.0,1131927996.0,,,,90.0,441.0,"Action & Adventure, Science Fiction & Fantasy",129.0,Jon Watts,,0,,,0,1,1,0,0
Captain Marvel,2019,2019-03-08,426829839.0,701444955.0,1128274794.0,,,,79.0,523.0,"Action & Adventure, Science Fiction & Fantasy",124.0,"Anna Boden, Ryan Fleck",,0,,,0,1,1,0,0
Joker,2019,2019-10-04,335451311.0,743300000.0,1078751311.0,,,,68.0,574.0,"Action & Adventure, Drama, Mystery & Suspense",122.0,Todd Phillips,,0,,,0,1,0,0,1
Toy Story 4,2019,2019-06-21,434038008.0,639356585.0,1073394593.0,,,,97.0,443.0,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",100.0,Josh Cooley,,0,,,1,0,0,1,0
Aladdin,2019,2019-05-24,355559216.0,695134737.0,1050693953.0,,,,57.0,370.0,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",128.0,Guy Ritchie,,0,,,0,1,0,0,1
Jumanji: The Next Level,2019,2019-12-13,320314960.0,481378969.0,801693929.0,,,,72.0,240.0,"Action & Adventure, Comedy",123.0,Jake Kasdan,,0,,,0,1,0,0,1
Fast & Furious Presents: Hobbs & Shaw,2019,2019-08-02,173956935.0,586775991.0,760732926.0,,,,67.0,337.0,"Action & Adventure, Mystery & Suspense",138.0,David Leitch,,0,,,0,1,1,0,0
Ne Zha,2019,2019-08-29,3695533.0,722329335.0,726024868.0,,,,88.0,17.0,"Action & Adventure, Animation, Science Fiction & Fantasy",110.0,Yu Yang,,0,,,1,0,0,0,1
