title,year,original_release_date_parsed,domestic_gross,international_gross,worldwide_gross,production_budget,profit_proxy,roi_proxy,tomatometer_rating,tomatometer_count,genres,runtime,directors,lead_actor,lead_actor_has_oscar,lead_actor_tier,lead_actor_status,is_animated,is_live_action,is_franchise,is_sequel,is_standalone
Glass,2019,2019-01-18,111048468.0,135950571.0,246999039.0,,,,37.0,386.0,"Drama, Mystery & Suspense",129.0,M. Night Shyamalan,,0,,,0,1,0,0,1
Annabelle Comes Home,2019,2019-06-26,74152591.0,157100000.0,231252591.0,,,,64.0,203.0,"Horror, Mystery & Suspense",106.0,Gary Dauberman,,0,,,0,1,0,0,1
Better Days,2019,2019-11-08,1921657.0,225391987.0,227313644.0,,,,100.0,15.0,Drama,135.0,Kwok Cheung Tsang,,0,,,0,1,0,0,1
The Addams Family,2019,2019-10-11,100044905.0,103000000.0,203044905.0,,,,44.0,154.0,"Animation, Comedy",87.0,"Conrad Vernon, Greg Tiernan",,0,,,1,0,0,0,1
Rocketman,2019,2019-05-31,96368160.0,98952240.0,195320400.0,,,,89.0,377.0,Drama,121.0,Dexter Fletcher,,0,,,0,1,0,0,1
Downton Abbey,2019,2019-09-20,96853865.0,97840860.0,194694725.0,,,,84.0,249.0,Drama,122.0,Michael Engler,,0,,,0,1,0,0,1
The Lego Movie 2: The Second Part,2019,2019-02-08,105806508.0,86500000.0,192306508.0,,,,85.0,293.0,"Animation, Comedy",107.0,Mike Mitchell,,0,,,1,0,0,1,0
Abominable,2019,2019-09-27,60716390.0,127907127.0,188623517.0,,,,81.0,164.0,"Action & Adventure, Animation, Comedy",97.0,Jill Culton,,0,,,1,0,0,0,1
Ip Man 4: The Finale,2019,2019-12-25,3956031.0,172389935.0,176345966.0,,,,87.0,31.0,"Action & Adventure, Drama",105.0,Wilson Yip,,0,,,0,1,0,1,0
Gemini Man,2019,2019-10-11,48546770.0,124922746.0,173469516.0,,,,26.0,306.0,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",117.0,Ang Lee,,0,,,0,1,0,0,1
Spies in Disguise,2019,2019-12-25,66757013.0,104859751.0,171616764.0,,,,76.0,119.0,"Action & Adventure, Animation, Comedy, Kids & Family",102.0,"Troy Quane, Nick Bruno",,0,,,1,0,0,0,1
Hustlers,2019,2019-09-13,104963598.0,52600000.0,157563598.0,,,,87.0,339.0,Drama,110.0,Lorene Scafaria,,0,,,0,1,0,0,1
The Climbers,2019,2019-09-30,487157.0,156405709.0,156892866.0,,,,33.0,6.0,"Action & Adventure, Drama",125.0,Daniel Lee,,0,,,0,1,0,0,1
Escape Room,2019,2019-01-04,57005601.0,98706476.0,155712077.0,,,,51.0,157.0,"Action & Adventure, Mystery & Suspense",100.0,Adam Robitel,,0,,,0,1,0,0,1
Yesterday,2019,2019-06-28,73286650.0,81322206.0,154608856.0,,,,63.0,349.0,"Comedy, Science Fiction & Fantasy, Romance",116.0,Danny Boyle,,0,,,0,1,0,0,1
The Angry Birds Movie 2,2019,2019-08-13,41667116.0,106124931.0,147792047.0,,,,73.0,110.0,"Action & Adventure, Animation",96.0,Thurop Van Orman,,0,,,1,0,0,1,0
Angel Has Fallen,2019,2019-08-23,69030436.0,77631541.0,146661977.0,,,,39.0,183.0,"Action & Adventure, Drama, Mystery & Suspense",121.0,Ric Roman Waugh,,0,,,0,1,0,0,1
Ad Astra,2019,2019-09-20,50188370.0,77273502.0,127461872.0,,,,83.0,375.0,"Mystery & Suspense, Science Fiction & Fantasy",124.0,James Gray,,0,,,0,1,0,0,1
The Upside,2019,2019-01-11,108252517.0,17600000.0,125852517.0,,,,42.0,184.0,"Comedy, Drama",126.0,Neil Burger,,0,,,0,1,0,0,1
The Curse of La Llorona,2019,2019-04-19,54733739.0,68500000.0,123233739.0,,,,28.0,183.0,Horror,93.0,Michael Chaves,,0,,,0,1,0,0,1
Zombieland: Double Tap,2019,2019-10-18,73123082.0,49687317.0,122810399.0,,,,68.0,244.0,"Action & Adventure, Comedy, Horror",99.0,Ruben Fleischer,,0,,,0,1,0,0,1
Dora and the Lost City of Gold,2019,2019-08-09,60477943.0,60119165.0,120597108.0,,,,85.0,150.0,"Action & Adventure, Kids & Family",102.0,James Bobin,,0,,,0,1,0,0,1
Wonder Park,2019,2019-03-15,45216793.0,74342317.0,119559110.0,,,,34.0,106.0,"Animation, Comedy, Kids & Family",85.0,,,0,,,1,0,0,0,1
Pet Sematary,2019,2019-04-05,54724696.0,58393530.0,113118226.0,,,,58.0,272.0,Horror,101.0,"Kevin Kölsch, Dennis Widmyer",,0,,,0,1,0,0,1
Good Boys,2019,2019-08-16,83140306.0,28033292.0,111173598.0,,,,80.0,242.0,Comedy,95.0,Gene Stupnitsky,,0,,,0,1,0,0,1
Scary Stories to Tell in the Dark,2019,2019-08-09,68947075.0,35598430.0,104545505.0,,,,78.0,229.0,Horror,111.0,André Øvredal,,0,,,0,1,0,0,1
The Hustle,2019,2019-05-10,35417038.0,61992741.0,97409779.0,,,,13.0,165.0,Comedy,94.0,Chris Addison,,0,,,0,1,0,0,1
Five Feet Apart,2019,2019-03-15,45729221.0,46824988.0,92554209.0,,,,53.0,121.0,"Drama, Romance",116.0,Justin Baldoni,,0,,,0,1,0,0,1
Crawl,2019,2019-07-12,39014193.0,52527904.0,91542097.0,,,,83.0,199.0,Horror,87.0,Alex Aja,,0,,,0,1,0,0,1
Rambo: Last Blood,2019,2019-09-20,44819352.0,46671001.0,91490353.0,,,,26.0,170.0,"Action & Adventure, Mystery & Suspense",89.0,Adrian Grunberg,,0,,,0,1,0,0,1
A Dog's Way Home,2019,2019-01-11,42004346.0,38703788.0,80708134.0,,,,59.0,79.0,Drama,96.0,Charles Martin Smith,,0,,,0,1,0,0,1
A Dog's Journey,2019,2019-05-17,22782371.0,56088537.0,78870908.0,,,,50.0,84.0,"Drama, Kids & Family",108.0,Gail Mancuso,,0,,,0,1,0,0,1
Cold Pursuit,2019,2019-02-08,32138862.0,44280893.0,76419755.0,,,,69.0,183.0,"Action & Adventure, Drama, Mystery & Suspense",118.0,Hans Petter Moland,,0,,,0,1,0,0,1
Cats,2019,2019-12-20,27166770.0,48392155.0,75558925.0,,,,20.0,319.0,"Comedy, Drama, Musical & Performing Arts",110.0,Tom Hooper,,0,,,0,1,0,0,1
Charlie's Angels,2019,2019-11-14,17803077.0,55476811.0,73279888.0,,,,52.0,227.0,"Action & Adventure, Comedy",118.0,Elizabeth Banks,,0,,,0,1,0,0,1
What Men Want,2019,2019-02-08,54611903.0,17604391.0,72216294.0,,,,42.0,146.0,Comedy,117.0,Adam Shankman,,0,,,0,1,0,0,1
After,2019,2019-04-12,12138565.0,57359022.0,69497587.0,,,,19.0,37.0,"Drama, Romance",106.0,Jenny Gage,,0,,,0,1,0,0,1
Happy Death Day 2U,2019,2019-02-13,28148130.0,36452022.0,64600152.0,,,,71.0,204.0,Horror,100.0,,,0,,,0,1,0,0,1
Bombshell,2019,2019-12-20,31762808.0,29641586.0,61404394.0,,,,69.0,318.0,Drama,108.0,Jay Roach,,0,,,0,1,0,0,1
Ma,2019,2019-05-31,45896028.0,15324756.0,61220784.0,,,,55.0,204.0,"Horror, Mystery & Suspense",99.0,Tate Taylor,,0,,,0,1,0,0,1
Ready or Not,2019,2019-08-21,28714231.0,28901546.0,57615777.0,,,,88.0,299.0,"Horror, Mystery & Suspense",95.0,"Matt Bettinelli-Olpin, Tyler Gillett",,0,,,0,1,0,0,1
Hellboy,2019,2019-04-12,21903748.0,33160942.0,55064690.0,,,,18.0,215.0,"Action & Adventure, Science Fiction & Fantasy",120.0,Neil Marshall,,0,,,0,1,0,0,1
Long Shot,2019,2019-05-03,30316271.0,23557538.0,53873809.0,,,,81.0,293.0,Comedy,123.0,Jonathan Levine,,0,,,0,1,0,0,1
Breakthrough,2019,2019-04-17,40713082.0,9731276.0,50444358.0,,,,63.0,64.0,Drama,116.0,Roxann Dawson,,0,,,0,1,0,0,1
Uncut Gems,2019,2019-12-25,50023780.0,0.0,50023780.0,,,,92.0,331.0,Drama,135.0,"Josh Safdie, Benny Safdie",,0,,,0,1,0,0,1
Little,2019,2019-04-12,40860481.0,8126615.0,48987096.0,,,,46.0,157.0,Comedy,109.0,Tina Gordon Chism,,0,,,0,1,0,0,1
Isn't It Romantic,2019,2019-02-13,48791187.0,0.0,48791187.0,,,,70.0,175.0,"Comedy, Romance",88.0,Todd Strauss-Schulson,,0,,,0,1,0,0,1
Countdown,2019,2019-10-25,25621766.0,22400000.0,48021766.0,,,,26.0,70.0,"Horror, Mystery & Suspense",90.0,Justin Dec,,0,,,0,1,0,0,1
Midsommar,2019,2019-07-03,27426361.0,20445607.0,47871968.0,,,,83.0,387.0,Horror,145.0,Ari Aster,,0,,,0,1,0,0,1
Queen & Slim,2019,2019-11-27,43808310.0,4025815.0,47834125.0,,,,82.0,217.0,Drama,132.0,Melina Matsoukas,,0,,,0,1,0,0,1
47 Meters Down: Uncaged,2019,2019-08-16,22260900.0,25321663.0,47582563.0,,,,45.0,89.0,Mystery & Suspense,89.0,Johannes Roberts,,0,,,0,1,0,0,1
Judy,2019,2019-09-27,24313888.0,21387992.0,45701880.0,,,,82.0,327.0,"Drama, Musical & Performing Arts",118.0,Rupert Goold,,0,,,0,1,0,0,1
Child's Play,2019,2019-06-21,29208403.0,15698671.0,44907074.0,,,,63.0,202.0,Horror,90.0,Lars Klevberg,,0,,,0,1,0,0,1
Richard Jewell,2019,2019-12-13,22345542.0,22300000.0,44645542.0,,,,77.0,289.0,Drama,131.0,Clint Eastwood,,0,,,0,1,0,0,1
Fighting with My Family,2019,2019-02-22,22958886.0,18544506.0,41503392.0,,,,92.0,234.0,Comedy,107.0,Stephen Merchant,,0,,,0,1,0,0,1
Overcomer,2019,2019-08-23,34746945.0,3279158.0,38026103.0,,,,53.0,17.0,Drama,115.0,Alex Kendrick,,0,,,0,1,0,0,1
The Intruder,2019,2019-05-03,35419122.0,1180239.0,36599361.0,,,,33.0,99.0,Mystery & Suspense,102.0,Deon Taylor,,0,,,0,1,0,0,1
The Art of Racing in the Rain,2019,2019-08-09,26395642.0,7371145.0,33766787.0,,,,43.0,117.0,Drama,109.0,Simon Curtis,,0,,,0,1,0,0,1
Brightburn,2019,2019-05-24,17300439.0,15924215.0,33224654.0,,,,58.0,203.0,"Horror, Science Fiction & Fantasy",91.0,David Yarovesky,,0,,,0,1,0,0,1
UglyDolls,2019,2019-05-03,20150241.0,12300000.0,32450241.0,,,,27.0,86.0,"Action & Adventure, Animation, Comedy, Musical & Performing Arts",87.0,Kelly Asbury,,0,,,1,0,0,0,1
Stuber,2019,2019-07-12,22370452.0,10020493.0,32390945.0,,,,41.0,221.0,"Action & Adventure, Comedy",93.0,Michael Dowse,,0,,,0,1,0,0,1
The Kid Who Would Be King,2019,2019-01-25,16790790.0,15350180.0,32140970.0,,,,89.0,187.0,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",120.0,Joe Cornish,,0,,,0,1,0,0,1
Anna,2019,2019-06-21,7743794.0,23883184.0,31626978.0,,,,33.0,69.0,"Action & Adventure, Mystery & Suspense",119.0,Luc Besson,,0,,,0,1,0,0,1
Missing Link,2019,2019-04-12,16649539.0,9916171.0,26565710.0,,,,89.0,168.0,"Action & Adventure, Animation, Comedy",94.0,Chris Butler,,0,,,1,0,0,0,1
No Manches Frida 2,2019,2019-03-15,9270920.0,17222728.0,26493648.0,,,,13.0,8.0,Comedy,102.0,Nacho G. Velilla,,0,,,0,1,0,1,0
"The Gangster, the Cop, the Devil",2019,2019-06-07,216494.0,25558877.0,25775371.0,,,,97.0,33.0,"Action & Adventure, Mystery & Suspense",110.0,Lee Won-Tae,,0,,,0,1,0,0,1
Booksmart,2019,2019-05-24,22680962.0,2278645.0,24959607.0,,,,96.0,359.0,Comedy,102.0,Olivia Wilde,,0,,,0,1,0,0,1
The Peanut Butter Falcon,2019,2019-08-09,20457158.0,3254939.0,23712097.0,,,,96.0,210.0,"Action & Adventure, Drama",96.0,"Michael Schwartz, Tyler Nilson",,0,,,0,1,0,0,1
Dark Waters,2019,2019-12-06,11136084.0,11971933.0,23108017.0,,,,90.0,218.0,Drama,126.0,Todd Haynes,,0,,,0,1,0,0,1
The Farewell,2019,2019-08-09,17695781.0,5380876.0,23076657.0,,,,98.0,332.0,"Comedy, Drama",100.0,Lulu Wang,,0,,,0,1,0,0,1
Unplanned,2019,2019-03-29,19005109.0,2580217.0,21585326.0,,,,42.0,26.0,Drama,106.0,"Chuck Konzelman, Cary Solomon",,0,,,0,1,0,0,1
Shaft,2019,2019-06-14,21360215.0,0.0,21360215.0,,,,33.0,127.0,"Action & Adventure, Comedy",111.0,Tim Story,,0,,,0,1,0,0,1
Hotel Mumbai,2019,2019-03-29,9651611.0,11663205.0,21314816.0,,,,76.0,214.0,Drama,125.0,Anthony Maras,,0,,,0,1,0,0,1
Greta,2019,2019-03-01,10532219.0,8120888.0,18653107.0,,,,60.0,270.0,Drama,98.0,Neil Jordan,,0,,,0,1,0,0,1
Bad Boys for Life,2020,2020-01-17,206305244.0,220200000.0,426505244.0,,,,77.0,257.0,"Action & Adventure, Comedy",124.0,"Adil El Arbi, Bilall Fallah",,0,,,0,1,0,0,1
Sonic the Hedgehog,2020,2020-02-14,148974665.0,170741018.0,319715683.0,,,,63.0,237.0,"Action & Adventure, Comedy",100.0,Jeff Fowler,,0,,,0,1,0,0,1
Dolittle,2020,2020-01-17,77047065.0,174363566.0,251410631.0,,,,14.0,228.0,"Action & Adventure, Comedy, Science Fiction & Fantasy",100.0,Stephen Gaghan,,0,,,0,1,0,0,1
The Invisible Man,2020,2020-02-28,70410000.0,74082724.0,144492724.0,,,,91.0,390.0,"Horror, Mystery & Suspense, Science Fiction & Fantasy",124.0,Leigh Whannell,,0,,,0,1,0,0,1
Onward,2020,2020-03-06,61555145.0,80384897.0,141940042.0,,,,88.0,324.0,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",103.0,Dan Scanlon,,0,,,1,0,0,0,1
Fantasy Island,2020,2020-02-14,27309289.0,22138019.0,49447308.0,,,,7.0,107.0,"Comedy, Science Fiction & Fantasy",109.0,Jeff Wadlow,,0,,,0,1,0,0,1
Trolls World Tour,2020,2020-04-10,450000.0,48826818.0,49276818.0,,,,70.0,152.0,"Animation, Comedy",91.0,"Walt Dohrn, David P. Smith, David Smith",,0,,,1,0,0,0,1
Underwater,2020,2020-01-10,17291078.0,23591850.0,40882928.0,,,,48.0,208.0,"Action & Adventure, Mystery & Suspense",95.0,William Eubank,,0,,,0,1,0,0,1
Bloodshot,2020,2020-03-13,12561824.0,27299294.0,39861118.0,,,,30.0,159.0,"Action & Adventure, Science Fiction & Fantasy",109.0,David S. F. Wilson,,0,,,0,1,0,0,1
Like a Boss,2020,2020-01-10,22169514.0,8229976.0,30399490.0,,,,,,Comedy,,Miguel Arteta,,0,,,0,1,0,0,1
Scoob!,2020,2020-05-15,2188425.0,26400000.0,28588425.0,,,,48.0,145.0,"Action & Adventure, Animation, Comedy",94.0,Tony Cervone,,0,,,1,0,0,0,1
Emma.,2020,2020-02-21,10055355.0,15877089.0,25932444.0,,,,87.0,235.0,"Comedy, Drama",125.0,Autumn de Wilde,,0,,,0,1,0,0,1
The Photograph,2020,2020-02-14,20578185.0,112594.0,20690779.0,,,,74.0,107.0,"Comedy, Drama, Romance",106.0,Stella Meghie,,0,,,0,1,0,0,1
Brahms: The Boy II,2020,2020-02-21,12611536.0,7700000.0,20311536.0,,,,9.0,56.0,"Horror, Mystery & Suspense",86.0,William Brent Bell,,0,,,0,1,0,1,0
I Still Believe,2020,2020-03-13,9868521.0,6201209.0,16069730.0,,,,51.0,45.0,Drama,115.0,"Andrew Erwin, Jon Erwin",,0,,,0,1,0,0,1
The Way Back,2020,2020-03-06,13590514.0,1900000.0,15490514.0,,,,84.0,189.0,Drama,108.0,Gavin O'Connor,,0,,,0,1,0,0,1
Impractical Jokers: The Movie,2020,2020-02-21,10691091.0,0.0,10691091.0,,,,35.0,26.0,Comedy,93.0,Chris Henchy,,0,,,0,1,0,0,1
The Hunt,2020,2020-03-13,5812500.0,4737850.0,10550350.0,,,,57.0,246.0,"Action & Adventure, Horror, Mystery & Suspense",90.0,Craig Zobel,,0,,,0,1,0,0,1
Antebellum,2020,2020-08-21,0.0,7792716.0,7792716.0,,,,28.0,161.0,"Horror, Mystery & Suspense",106.0,"Gerard Bush, Christoper Renz",,0,,,0,1,0,0,1
Bill & Ted Face the Music,2020,2020-08-28,3439660.0,2834367.0,6274027.0,,,,82.0,235.0,"Action & Adventure, Comedy, Science Fiction & Fantasy",91.0,Dean Parisot,,0,,,0,1,0,0,1
The Rhythm Section,2020,2020-01-31,5437971.0,551612.0,5989583.0,,,,28.0,170.0,"Action & Adventure, Mystery & Suspense",109.0,Reed Morano,,0,,,0,1,0,0,1
Military Wives,2020,2020-05-22,0.0,4890505.0,4890505.0,,,,76.0,118.0,"Comedy, Drama",112.0,Peter Cattaneo,,0,,,0,1,0,0,1
